Key,Neighbors,Metric,Value,Algorithm
0,1,Degree Diversity,0.873074254,Actual Diversity
1,1,Degree Diversity,0.840353511,SRA
2,1,MAE,0.849532044,SRA
3,1,RMSE,1.098658323,SRA
4,1,HLU,1.154312451,SRA
6,1,SortingAccuracy,0.436486105,SRA
10,1,F1,0.650136466,SRA
13,2,Degree Diversity,0.873074254,Actual Diversity
14,2,Degree Diversity,0.834031886,SRA
15,2,MAE,0.764778674,SRA
16,2,RMSE,0.988064265,SRA
17,2,HLU,1.226172777,SRA
19,2,SortingAccuracy,0.445180072,SRA
23,2,F1,0.669057283,SRA
26,3,Degree Diversity,0.873074254,Actual Diversity
27,3,Degree Diversity,0.833575795,SRA
28,3,MAE,0.732484078,SRA
29,3,RMSE,0.948421717,SRA
30,3,HLU,1.263746846,SRA
32,3,SortingAccuracy,0.453231058,SRA
36,3,F1,0.680262638,SRA
39,4,Degree Diversity,0.873074254,Actual Diversity
40,4,Degree Diversity,0.83245134,SRA
41,4,MAE,0.716081977,SRA
42,4,RMSE,0.92838918,SRA
43,4,HLU,1.293439155,SRA
45,4,SortingAccuracy,0.458125384,SRA
49,4,F1,0.68724721,SRA
52,5,Degree Diversity,0.873074254,Actual Diversity
53,5,Degree Diversity,0.832464271,SRA
54,5,MAE,0.70593462,SRA
55,5,RMSE,0.916306114,SRA
56,5,HLU,1.313028235,SRA
58,5,SortingAccuracy,0.462961655,SRA
62,5,F1,0.692593896,SRA
65,6,Degree Diversity,0.873074254,Actual Diversity
66,6,Degree Diversity,0.832960069,SRA
67,6,MAE,0.69910872,SRA
68,6,RMSE,0.908152902,SRA
69,6,HLU,1.327827944,SRA
71,6,SortingAccuracy,0.466260076,SRA
75,6,F1,0.696233444,SRA
78,7,Degree Diversity,0.873074254,Actual Diversity
79,7,Degree Diversity,0.833020957,SRA
80,7,MAE,0.694017863,SRA
81,7,RMSE,0.902115607,SRA
82,7,HLU,1.339253815,SRA
84,7,SortingAccuracy,0.46970971,SRA
88,7,F1,0.699275634,SRA
91,8,Degree Diversity,0.873074254,Actual Diversity
92,8,Degree Diversity,0.832225718,SRA
93,8,MAE,0.690437877,SRA
94,8,RMSE,0.897955871,SRA
95,8,HLU,1.351856905,SRA
97,8,SortingAccuracy,0.472717427,SRA
101,8,F1,0.70148819,SRA
104,9,Degree Diversity,0.873074254,Actual Diversity
105,9,Degree Diversity,0.833765399,SRA
106,9,MAE,0.687584233,SRA
107,9,RMSE,0.894682872,SRA
108,9,HLU,1.362490257,SRA
110,9,SortingAccuracy,0.475115444,SRA
114,9,F1,0.703414658,SRA
117,10,Degree Diversity,0.873074254,Actual Diversity
118,10,Degree Diversity,0.834038364,SRA
119,10,MAE,0.68516928,SRA
120,10,RMSE,0.891946912,SRA
121,10,HLU,1.371118865,SRA
123,10,SortingAccuracy,0.477727889,SRA
127,10,F1,0.705036326,SRA
130,11,Degree Diversity,0.873074254,Actual Diversity
131,11,Degree Diversity,0.834475832,SRA
132,11,MAE,0.683286273,SRA
133,11,RMSE,0.889759755,SRA
134,11,HLU,1.378956408,SRA
136,11,SortingAccuracy,0.479321089,SRA
140,11,F1,0.706482372,SRA
143,12,Degree Diversity,0.873074254,Actual Diversity
144,12,Degree Diversity,0.833205147,SRA
145,12,MAE,0.681702328,SRA
146,12,RMSE,0.88795321,SRA
147,12,HLU,1.384682658,SRA
