Key,Neighbors,Metric,Value,Algorithm
0,1,Degree Diversity,0.668792804,Actual Diversity
1,1,Degree Diversity,0.646555843,SRA
2,1,MAE,0.914233756,SRA
3,1,RMSE,1.163245511,SRA
4,1,HLU,1.086202796,SRA
6,1,SortingAccuracy,0.508360483,SRA
10,1,F1,0.640947144,SRA
13,2,Degree Diversity,0.668792804,Actual Diversity
14,2,Degree Diversity,0.637974413,SRA
15,2,MAE,0.825706184,SRA
16,2,RMSE,1.048432302,SRA
17,2,HLU,1.154853069,SRA
19,2,SortingAccuracy,0.515866619,SRA
23,2,F1,0.659115343,SRA
26,3,Degree Diversity,0.668792804,Actual Diversity
27,3,Degree Diversity,0.635754937,SRA
28,3,MAE,0.793139911,SRA
29,3,RMSE,1.007055378,SRA
30,3,HLU,1.199224218,SRA
32,3,SortingAccuracy,0.521740261,SRA
36,3,F1,0.670331946,SRA
39,4,Degree Diversity,0.668792804,Actual Diversity
40,4,Degree Diversity,0.633141698,SRA
41,4,MAE,0.776222944,SRA
42,4,RMSE,0.985646081,SRA
43,4,HLU,1.229773652,SRA
45,4,SortingAccuracy,0.526490103,SRA
49,4,F1,0.678153535,SRA
52,5,Degree Diversity,0.668792804,Actual Diversity
53,5,Degree Diversity,0.633495225,SRA
54,5,MAE,0.765370572,SRA
55,5,RMSE,0.972115064,SRA
56,5,HLU,1.256038897,SRA
58,5,SortingAccuracy,0.530585042,SRA
62,5,F1,0.683427114,SRA
65,6,Degree Diversity,0.668792804,Actual Diversity
66,6,Degree Diversity,0.631683002,SRA
67,6,MAE,0.758223844,SRA
68,6,RMSE,0.963412273,SRA
69,6,HLU,1.274041583,SRA
71,6,SortingAccuracy,0.533227503,SRA
75,6,F1,0.687631225,SRA
78,7,Degree Diversity,0.668792804,Actual Diversity
79,7,Degree Diversity,0.63165935,SRA
80,7,MAE,0.752881479,SRA
81,7,RMSE,0.956840217,SRA
82,7,HLU,1.296706516,SRA
84,7,SortingAccuracy,0.536669606,SRA
88,7,F1,0.691071796,SRA
91,8,Degree Diversity,0.668792804,Actual Diversity
92,8,Degree Diversity,0.631090333,SRA
93,8,MAE,0.748841834,SRA
94,8,RMSE,0.951869476,SRA
95,8,HLU,1.312961431,SRA
97,8,SortingAccuracy,0.539113664,SRA
101,8,F1,0.69423111,SRA
104,9,Degree Diversity,0.668792804,Actual Diversity
105,9,Degree Diversity,0.629917174,SRA
106,9,MAE,0.745427883,SRA
107,9,RMSE,0.947724581,SRA
108,9,HLU,1.325112459,SRA
110,9,SortingAccuracy,0.541445444,SRA
114,9,F1,0.696451325,SRA
117,10,Degree Diversity,0.668792804,Actual Diversity
118,10,Degree Diversity,0.630546407,SRA
119,10,MAE,0.742827499,SRA
120,10,RMSE,0.944500756,SRA
121,10,HLU,1.340029981,SRA
123,10,SortingAccuracy,0.543408755,SRA
127,10,F1,0.69824186,SRA
130,11,Degree Diversity,0.668792804,Actual Diversity
131,11,Degree Diversity,0.629821964,SRA
132,11,MAE,0.74076966,SRA
133,11,RMSE,0.941942441,SRA
134,11,HLU,1.350956642,SRA
136,11,SortingAccuracy,0.545197401,SRA
140,11,F1,0.699759819,SRA
143,12,Degree Diversity,0.668792804,Actual Diversity
144,12,Degree Diversity,0.628969616,SRA
145,12,MAE,0.739088166,SRA
146,12,RMSE,0.939867175,SRA
147,12,HLU,1.358898238,SRA
149,12,SortingAccuracy,0.54565324,SRA
153,12,F1,0.701105277,SRA
156,13,Degree Diversity,0.668792804,Actual Diversity
157,13,Degree Diversity,0.629241142,SRA
158,13,MAE,0.737574852,SRA
159,13,RMSE,0.938049638,SRA
160,13,HLU,1.369360269,SRA
162,13,SortingAccuracy,0.547362369,SRA
166,13,F1,0.70226242,SRA
169,14,Degree Diversity,0.668792804,Actual Diversity
170,14,Degree Diversity,0.629419354,SRA
171,14,MAE,0.736296415,SRA
172,14,RMSE,0.93651247,SRA
173,14,HLU,1.37695798,SRA
175,14,SortingAccuracy,0.548643355,SRA
179,14,F1,0.703408874,SRA
182,15,Degree Diversity,0.668792804,Actual Diversity
183,15,Degree Diversity,0.628985449,SRA
184,15,MAE,0.735231614,SRA
185,15,RMSE,0.935170388,SRA
186,15,HLU,1.382769895,SRA
188,15,SortingAccuracy,0.550261097,SRA
192,15,F1,0.703901451,SRA
195,16,Degree Diversity,0.668792804,Actual Diversity
196,16,Degree Diversity,0.628953923,SRA
197,16,MAE,0.734366262,SRA
198,16,RMSE,0.934077954,SRA
199,16,HLU,1.3891827,SRA
201,16,SortingAccuracy,0.55074368,SRA
205,16,F1,0.70479034,SRA
208,17,Degree Diversity,0.668792804,Actual Diversity
209,17,Degree Diversity,0.628126908,SRA
210,17,MAE,0.733486629,SRA
211,17,RMSE,0.933012128,SRA
212,17,HLU,1.392872642,SRA
214,17,SortingAccuracy,0.551531567,SRA
218,17,F1,0.70563736,SRA
221,18,Degree Diversity,0.668792804,Actual Diversity
222,18,Degree Diversity,0.628984074,SRA
223,18,MAE,0.732741714,SRA
224,18,RMSE,0.932093596,SRA
225,18,HLU,1.398515852,SRA
227,18,SortingAccuracy,0.553279069,SRA
231,18,F1,0.706167977,SRA
234,19,Degree Diversity,0.668792804,Actual Diversity
235,19,Degree Diversity,0.62925256,SRA
236,19,MAE,0.732012212,SRA
237,19,RMSE,0.931211209,SRA
238,19,HLU,1.400455882,SRA
240,19,SortingAccuracy,0.553669967,SRA
244,19,F1,0.706979325,SRA
247,20,Degree Diversity,0.668792804,Actual Diversity
248,20,Degree Diversity,0.629165575,SRA
249,20,MAE,0.731430578,SRA
250,20,RMSE,0.930487335,SRA
251,20,HLU,1.406949844,SRA
253,20,SortingAccuracy,0.553964161,SRA
257,20,F1,0.707406415,SRA
260,22,Degree Diversity,0.668792804,Actual Diversity
261,22,Degree Diversity,0.629378634,SRA
262,22,MAE,0.730489838,SRA
263,22,RMSE,0.929296756,SRA
264,22,HLU,1.415053013,SRA
266,22,SortingAccuracy,0.554601857,SRA
270,22,F1,0.707991264,SRA
273,24,Degree Diversity,0.668792804,Actual Diversity
274,24,Degree Diversity,0.629152965,SRA
275,24,MAE,0.729599118,SRA
276,24,RMSE,0.928175235,SRA
277,24,HLU,1.422342569,SRA
279,24,SortingAccuracy,0.556404787,SRA
283,24,F1,0.708908784,SRA
286,26,Degree Diversity,0.668792804,Actual Diversity
287,26,Degree Diversity,0.629276459,SRA
288,26,MAE,0.72890439,SRA
289,26,RMSE,0.92732774,SRA
290,26,HLU,1.427256457,SRA
292,26,SortingAccuracy,0.557677668,SRA
296,26,F1,0.709649424,SRA
299,28,Degree Diversity,0.668792804,Actual Diversity
300,28,Degree Diversity,0.629174001,SRA
301,28,MAE,0.728239632,SRA
302,28,RMSE,0.926526833,SRA
303,28,HLU,1.433933445,SRA
305,28,SortingAccuracy,0.558693183,SRA
309,28,F1,0.710271758,SRA
312,30,Degree Diversity,0.668792804,Actual Diversity
313,30,Degree Diversity,0.628944218,SRA
314,30,MAE,0.727644968,SRA
315,30,RMSE,0.92582345,SRA
316,30,HLU,1.438701175,SRA
318,30,SortingAccuracy,0.558931291,SRA
322,30,F1,0.710654295,SRA
325,32,Degree Diversity,0.668792804,Actual Diversity
326,32,Degree Diversity,0.629378805,SRA
327,32,MAE,0.727154374,SRA
328,32,RMSE,0.925210905,SRA
329,32,HLU,1.442613374,SRA
331,32,SortingAccuracy,0.560666965,SRA
335,32,F1,0.711440981,SRA
338,34,Degree Diversity,0.668792804,Actual Diversity
339,34,Degree Diversity,0.629726326,SRA
340,34,MAE,0.726761675,SRA
341,34,RMSE,0.924686956,SRA
342,34,HLU,1.446466847,SRA
344,34,SortingAccuracy,0.561115734,SRA
348,34,F1,0.711541058,SRA
351,36,Degree Diversity,0.668792804,Actual Diversity
352,36,Degree Diversity,0.629127473,SRA
353,36,MAE,0.726414061,SRA
354,36,RMSE,0.924236226,SRA
355,36,HLU,1.448308878,SRA
357,36,SortingAccuracy,0.561667815,SRA
361,36,F1,0.711957354,SRA
364,38,Degree Diversity,0.668792804,Actual Diversity
365,38,Degree Diversity,0.629414028,SRA
366,38,MAE,0.72605325,SRA
367,38,RMSE,0.923800874,SRA
368,38,HLU,1.452862077,SRA
370,38,SortingAccuracy,0.562291141,SRA
374,38,F1,0.712257332,SRA
377,40,Degree Diversity,0.668792804,Actual Diversity
378,40,Degree Diversity,0.628397687,SRA
379,40,MAE,0.725758493,SRA
380,40,RMSE,0.923460388,SRA
381,40,HLU,1.454884038,SRA
383,40,SortingAccuracy,0.56267141,SRA
387,40,F1,0.712425534,SRA
390,42,Degree Diversity,0.668792804,Actual Diversity
391,42,Degree Diversity,0.628843558,SRA
392,42,MAE,0.725493813,SRA
393,42,RMSE,0.92313329,SRA
394,42,HLU,1.458627989,SRA
396,42,SortingAccuracy,0.563173729,SRA
400,42,F1,0.712791234,SRA
403,44,Degree Diversity,0.668792804,Actual Diversity
404,44,Degree Diversity,0.629342612,SRA
405,44,MAE,0.725255919,SRA
406,44,RMSE,0.92285229,SRA
407,44,HLU,1.462030397,SRA
409,44,SortingAccuracy,0.563497569,SRA
413,44,F1,0.713018762,SRA
416,46,Degree Diversity,0.668792804,Actual Diversity
417,46,Degree Diversity,0.628838543,SRA
418,46,MAE,0.72506789,SRA
419,46,RMSE,0.922617435,SRA
420,46,HLU,1.464249501,SRA
422,46,SortingAccuracy,0.564235838,SRA
426,46,F1,0.713208178,SRA
429,48,Degree Diversity,0.668792804,Actual Diversity
430,48,Degree Diversity,0.628589675,SRA
431,48,MAE,0.724907172,SRA
432,48,RMSE,0.922420108,SRA
433,48,HLU,1.467550769,SRA
435,48,SortingAccuracy,0.564468125,SRA
439,48,F1,0.713467288,SRA
442,50,Degree Diversity,0.668792804,Actual Diversity
443,50,Degree Diversity,0.628755661,SRA
444,50,MAE,0.724731815,SRA
445,50,RMSE,0.922209716,SRA
446,50,HLU,1.469287373,SRA
448,50,SortingAccuracy,0.564876491,SRA
452,50,F1,0.713716338,SRA
455,52,Degree Diversity,0.668792804,Actual Diversity
456,52,Degree Diversity,0.628352627,SRA
457,52,MAE,0.724560809,SRA
458,52,RMSE,0.922017801,SRA
459,52,HLU,1.47100671,SRA
461,52,SortingAccuracy,0.565403969,SRA
465,52,F1,0.713853335,SRA
468,54,Degree Diversity,0.668792804,Actual Diversity
469,54,Degree Diversity,0.628289688,SRA
470,54,MAE,0.724440241,SRA
471,54,RMSE,0.9218804,SRA
472,54,HLU,1.472948378,SRA
474,54,SortingAccuracy,0.565579717,SRA
478,54,F1,0.713989302,SRA
481,56,Degree Diversity,0.668792804,Actual Diversity
482,56,Degree Diversity,0.627999311,SRA
483,56,MAE,0.724308586,SRA
484,56,RMSE,0.921738279,SRA
485,56,HLU,1.474388344,SRA
487,56,SortingAccuracy,0.565815053,SRA
491,56,F1,0.714385336,SRA
494,58,Degree Diversity,0.668792804,Actual Diversity
495,58,Degree Diversity,0.627707452,SRA
496,58,MAE,0.724196267,SRA
497,58,RMSE,0.921597779,SRA
498,58,HLU,1.477167058,SRA
500,58,SortingAccuracy,0.566489164,SRA
504,58,F1,0.714525007,SRA
507,60,Degree Diversity,0.668792804,Actual Diversity
508,60,Degree Diversity,0.627699745,SRA
509,60,MAE,0.724092591,SRA
510,60,RMSE,0.921474683,SRA
511,60,HLU,1.478347488,SRA
513,60,SortingAccuracy,0.566440444,SRA
517,60,F1,0.714579842,SRA
520,65,Degree Diversity,0.668792804,Actual Diversity
521,65,Degree Diversity,0.626995163,SRA
522,65,MAE,0.723914123,SRA
523,65,RMSE,0.921260512,SRA
