Key,Experment_Id,Algorithm,Event,TimeSpan
0,1,SRA,Training,2.8962741766666666
1,1,SRA,Test,0.18621713833333334
2,5,SRA,Training,2.8841676916666668
3,5,SRA,Test,0.16677775833333333
4,4,SRA,Training,2.857010268333333
5,4,SRA,Test,0.163576635
6,2,SRA,Training,2.8845442316666667
7,2,SRA,Test,0.172727545
8,3,SRA,Training,2.875732035
9,3,SRA,Test,0.17822328166666668
10,1,FPLV-C,Training,5.537234295
11,1,FPLV-C,Test,0.24262098333333335
12,5,FPLV-C,Training,5.5183659233333335
13,5,FPLV-C,Test,0.24009973166666668
14,4,FPLV-C,Training,5.489936655
15,4,FPLV-C,Test,0.23564916
16,2,FPLV-C,Training,5.602167576666667
17,2,FPLV-C,Test,0.23889296833333334
18,3,FPLV-C,Training,5.66287512
19,3,FPLV-C,Test,0.24404015
20,1,FPLV-KNN,Training,2.6183870916666665
21,1,FPLV-KNN,Test,0.2039
22,5,FPLV-KNN,Training,2.6541288666666665
23,5,FPLV-KNN,Test,0.20084683
24,4,FPLV-KNN,Training,2.6604194666666667
25,4,FPLV-KNN,Test,0.20511145333333333
26,2,FPLV-KNN,Training,2.687716745
27,2,FPLV-KNN,Test,0.20545497
28,3,FPLV-KNN,Training,2.6823887183333333
29,3,FPLV-KNN,Test,0.212753155
30,1,FPLV-ALL,Training,2.748095195
31,1,FPLV-ALL,Test,0.23127922833333334
32,5,FPLV-ALL,Training,2.7507780916666666
33,5,FPLV-ALL,Test,0.230564655
34,4,FPLV-ALL,Training,2.80398809
35,4,FPLV-ALL,Test,0.23079966833333335
36,2,FPLV-ALL,Training,2.8001894883333334
37,2,FPLV-ALL,Test,0.23373651166666667
38,3,FPLV-ALL,Training,2.79579001
39,3,FPLV-ALL,Test,0.24135557166666666
40,1,FPLV-SS,Training,5.852035663333333
41,1,FPLV-SS,Test,0.14784694
42,5,FPLV-SS,Training,5.557538005
43,5,FPLV-SS,Test,0.14148933
44,4,FPLV-SS,Training,5.490466128333333
45,4,FPLV-SS,Test,0.14249471
46,2,FPLV-SS,Training,5.49460294
47,2,FPLV-SS,Test,0.14455474
48,3,FPLV-SS,Training,5.52778419
49,3,FPLV-SS,Test,0.14815352333333334
50,1,VS,Training,3.8721463
51,1,VS,Test,0.24864578333333334
52,5,VS,Training,3.87938584
53,5,VS,Test,0.24641457
54,4,VS,Training,3.8827524733333334
55,4,VS,Test,0.25244988
56,2,VS,Training,3.90564903
57,2,VS,Test,0.25267029333333335
58,3,VS,Training,3.9092204766666665
59,3,VS,Test,0.25672078666666664
60,1,Bhattacharyya-Cos,Training,3.0435303233333335
61,1,Bhattacharyya-Cos,Test,0.00286475
62,5,Bhattacharyya-Cos,Training,3.113725395
63,5,Bhattacharyya-Cos,Test,0.00257552
64,4,Bhattacharyya-Cos,Training,3.139945345
65,4,Bhattacharyya-Cos,Test,0.004605913333333334
66,2,Bhattacharyya-Cos,Training,3.138279075
67,2,Bhattacharyya-Cos,Test,0.004160196666666667
68,3,Bhattacharyya-Cos,Training,3.1378470016666666
69,3,Bhattacharyya-Cos,Test,0.0036036
70,1,Entropy,Training,4.854805371666667
71,1,Entropy,Test,0.15431446833333334
72,5,Entropy,Training,4.86073208
73,5,Entropy,Test,0.14991975666666665
74,4,Entropy,Training,4.78191128
75,4,Entropy,Test,0.14819099166666666
76,2,Entropy,Training,4.767009851666667
77,2,Entropy,Test,0.153433565
78,3,Entropy,Training,4.816283423333333
79,3,Entropy,Test,0.15497681333333332
80,1,DTEC,Training,5.579116158333333
81,1,DTEC,Test,0.17875320166666667
82,5,DTEC,Training,5.479213191666667
83,5,DTEC,Test,0.18001413333333333
84,4,DTEC,Training,5.491766041666667
85,4,DTEC,Test,0.18103955333333333
86,2,DTEC,Training,5.4828334566666665
87,2,DTEC,Test,0.18179575666666667
88,3,DTEC,Training,5.461226615
89,3,DTEC,Test,0.18087873666666668
90,1,LIBMF,Training,0.12318584833333333
91,1,LIBMF,Test,0.9140908333333333
92,5,LIBMF,Training,0.11773989833333333
93,5,LIBMF,Test,0.9272947316666666
94,4,LIBMF,Training,0.11739011333333334
95,4,LIBMF,Test,0.9208367416666666
96,2,LIBMF,Training,0.11859195
97,2,LIBMF,Test,0.91862359
98,3,LIBMF,Training,0.11742671833333333
99,3,LIBMF,Test,0.9276343116666667
